code,prefecture,city_en,city_jp,pop_cagr,under20_cagr,age2039_cagr,income_cagr,crime_rate,score_pop,score_under20,score_2039,score_income,score_safety,macro_total,station_score,total_score
12223,Chiba,Kamogawa,鴨川市,-0.014277,-0.031061,-0.022187,0.013143,4.9,2,2,3,4,8,19,22.5,41.5
12224,Chiba,Kamagaya,鎌ケ谷市,0.000178,-0.014876,-0.007923,0.020666,5.7,6,6,7,6,6,31,40.0,71.0
12225,Chiba,Kimitsu,君津市,-0.010223,-0.027478,-0.024030,0.009114,5.4,3,3,3,3,7,19,29.5,48.5
12226,Chiba,Futtsu,富津市,-0.015178,-0.035131,-0.031514,0.006731,4.6,2,2,2,2,8,16,29.5,45.5
12227,Chiba,Urayasu,浦安市,0.005045,-0.018368,0.005208,0.090097,6.3,9,5,9,10,5,38,50.0,88.0
12228,Chiba,Yotsukaido,四街道市,0.005431,0.003479,-0.000744,0.022347,6.0,9,10,8,6,6,39,34.0,73.0
12229,Chiba,Sodegaura,袖ケ浦市,0.006375,0.003614,0.000912,0.035197,4.8,9,10,9,10,8,46,20.5,66.5
12230,Chiba,Yachimata,八街市,-0.009695,-0.039039,-0.017984,0.020793,7.2,3,1,4,6,3,17,26.0,43.0
12231,Chiba,Inzai,印西市,0.017731,0.024526,0.000580,0.037330,6.9,10,10,9,10,3,42,24.0,66.0
12232,Chiba,Shiroi,白井市,-0.000869,-0.017888,-0.025124,0.014247,5.1,6,5,3,4,8,26,27.5,53.5
12233,Chiba,Tomisato,富里市,0.000054,-0.019109,-0.005007,0.018869,6.8,6,5,8,5,4,28,,42.0
12234,Chiba,Minamiboso,南房総市,-0.018438,-0.037681,-0.042234,0.001797,4.3,1,2,1,1,9,14,22.5,36.5
12235,Chiba,Sosa,匝瑳市,-0.015073,-0.034022,-0.033804,0.004296,6.6,2,2,2,2,4,12,22.5,34.5
12236,Chiba,Katori,香取市,-0.015168,-0.036260,-0.030009,0.003664,6.2,2,2,2,2,5,13,22.5,35.5
12237,Chiba,Sanmu,山武市,-0.013874,-0.039129,-0.027746,0.003639,8.0,2,1,2,2,2,9,22.5,31.5
12238,Chiba,Isumi,いすみ市,-0.015328,-0.031753,-0.043476,0.004527,6.6,2,2,1,2,4,11,27.0,38.0
12239,Chiba,Oamishirasato,大網白里市,-0.006192,-0.024209,-0.023125,0.010452,4.1,4,4,3,3,9,23,22.5,45.5
12320,,,,-0.008088,,,,6.4,3,,,,4,7,,10.5
