code,prefecture,city,2017,2018,2019,2020,2021,2022,2023,2024,cagr_7y
122386,Chiba,いすみ市,42054692,42167813,42221298,41801320,43104021,44590358,44054819,43405481,0.004527
122394,Chiba,大網白里市,68135853,68879114,70672592,69137436,70730012,72194942,72857869,73280151,0.010452
123226,Chiba,酒々井町,28859417,29299966,29155211,29386779,29213098,29830086,30537224,30566364,0.008243
123293,Chiba,栄町,28564656,28673859,28055215,28112690,27902895,27591039,27858640,27314309,-0.006374
123421,Chiba,神崎町,7808786,7835463,7878039,7805536,7868073,7801042,8023432,8039781,0.004173
123471,Chiba,多古町,17852081,18548730,17781957,17349787,17817563,20751676,23840438,22623284,0.034416
123498,Chiba,東庄町,16846559,17179574,18024747,17196331,17693295,17832490,17955092,18000524,0.00951
124036,Chiba,九十九里町,17633381,17702294,17637292,17331449,17860943,18094495,17760049,17074492,-0.004591
124095,Chiba,芝山町,9901358,9878048,9856050,9903157,9810110,11787613,16451339,19492294,0.1016
124109,Chiba,横芝光町,26853821,27403410,27731533,27472508,28398050,28528607,28967525,28851217,0.010302
124214,Chiba,一宮町,16212227,15861018,15989348,16086138,17372758,18304671,18704517,19553810,0.027134
124222,Chiba,睦沢町,12280033,7824309,8197063,7895735,8453802,8448952,8093829,7810265,-0.062603
124231,Chiba,長生村,17106866,17196328,17411898,17219886,17897242,18187337,18705485,18153729,0.008521
124249,Chiba,白子町,12538979,12605755,12738991,12773776,12887000,12988438,12893913,13985493,0.015719
124265,Chiba,長柄町,8741287,8570540,8538852,8225231,8301906,8269589,8159953,8069083,-0.011366
124273,Chiba,長南町,9333358,9360185,9205898,9021097,9051591,9102359,9075332,8888483,-0.006953
124419,Chiba,大多喜町,9581653,9678381,9517983,9534198,9749300,9862224,9670525,9362935,-0.003293
124435,Chiba,御宿町,8206492,9530353,7935342,7968091,8346555,8899545,9138887,9088512,0.014691
124630,Chiba,鋸南町,8333009,8384283,8421885,8261734,8412870,8551374,8125107,7989689,-0.005992
131016,Tokyo,千代田区,333664476,362690825,412894018,400984266,398238882,438352004,460937758,480902182,0.053606
131024,Tokyo,中央区,562306834,604855042,670370026,684753903,725351426,786357228,820765956,871427172,0.064583
131032,Tokyo,港区,1541982291,1592760255,1762150325,1704945973,1696889664,2149577752,2075473639,2642899172,0.080012
131041,Tokyo,新宿区,926402861,994411782,1026190031,1044274299,1063466256,1133909787,1170367488,1209053770,0.038773
131059,Tokyo,文京区,718111843,738614951,773666417,778597546,785705835,858901655,925033955,987943088,0.046626
131067,Tokyo,台東区,433617929,453906868,479526036,504292100,518318244,560968113,588074126,628851137,0.05454
131075,Tokyo,墨田区,526774130,555077580,580134059,604651466,630831166,655879661,689628811,739872536,0.049726
131083,Tokyo,江東区,1123594742,1180594120,1236401045,1261281380,1319513475,1389759337,1470056301,1543768802,0.04643
131091,Tokyo,品川区,1011051510,1073975422,1141412901,1189250332,1236754013,1313406206,1335981478,1422496491,0.049984
131105,Tokyo,目黒区,945905092,982732740,1034837629,1047325161,1053261584,1117178705,1177733747,1257171367,0.041477
131113,Tokyo,大田区,1648342738,1700157096,1775178038,1792361034,1844274562,1876201519,1945410441,2042962328,0.031136
131121,Tokyo,世田谷区,2620976315,2708792374,2835025128,2822665875,2890061409,3072063870,3175645915,3308527199,0.033839
131130,Tokyo,渋谷区,1029439108,1119013391,1163227113,1192700801,1235799382,1356324485,1458946282,1563413857,0.061512
131148,Tokyo,中野区,748424622,773328860,790509699,803422586,832299323,899947251,908058621,948245053,0.034384
