code,prefecture,city,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,cagr_10y,cagr_5y
142077,神奈川県,茅ケ崎市,194800,190000,190000,190200,191200,192300,192800,195100,204200,216000,0.011544464027254842,0.02948166609285896
121061,千葉県,千葉市美浜区,159900,158600,158700,159800,161700,163400,163400,166600,170400,177000,0.011352973888173468,0.020188217809140596
112224,埼玉県,越谷市,126900,126400,128200,129900,131500,132800,131700,132800,135800,140400,0.01129622780606332,0.014010047236686196
140007,神奈川県,神奈川県,183400,184800,185900,187400,189300,191500,191200,192700,196500,202900,0.011290336476375895,0.014561358073862829
141526,神奈川県,相模原市中央区,146900,147500,147800,148200,149900,151400,151100,152500,155500,162500,0.01127710344467503,0.01784552723156363
132128,東京都,日野市,181500,183400,185300,188000,190100,190800,188500,188700,193100,199800,0.01073063271749386,0.011589419717165761
112011,埼玉県,川越市,130600,131200,132000,133300,135400,137000,135600,136700,139800,143700,0.010677555449731813,0.012008243733903523
111066,埼玉県,さいたま市桜区,155700,156300,157100,158600,160400,162300,161600,162800,167100,171300,0.010665960826519383,0.013583917009602597
141135,神奈川県,横浜市緑区,206600,210200,211400,212800,214200,216200,216600,218900,221800,227200,0.010616641943288707,0.012483977731337026
111015,埼玉県,さいたま市西区,100500,104400,105900,106100,106600,106900,105300,106100,107900,110500,0.010595493697220126,0.00831480327824674
132110,東京都,小平市,217600,220000,222500,225300,227500,229900,228600,229500,232500,239200,0.010571207541842265,0.009963203061224446
111104,埼玉県,さいたま市岩槻区,79000,80900,83600,83700,83700,83700,82600,83100,84400,86800,0.010517004437972988,0.009133368011696952
141160,神奈川県,横浜市泉区,188900,191400,193500,195900,198000,198300,197900,199000,205200,207500,0.01048947338546724,0.011402089931310977
141062,神奈川県,横浜市保土ケ谷区,184900,185700,186100,186900,189000,192000,192100,193800,196600,202700,0.010264759891398745,0.01365024573461504
142123,神奈川県,厚木市,111200,115100,114600,114200,113800,113900,114100,115100,117800,121800,0.010168010165597652,0.01690619028645468
142042,神奈川県,鎌倉市,200200,200600,201000,201600,202200,203500,202200,203800,211900,219200,0.010125103038307381,0.018753312954782775
84433,茨城県,阿見町,25300,25100,26900,26900,26900,26900,26800,26900,27200,27700,0.010120650558878008,0.007353436345264086
132071,東京都,昭島市,178300,178300,179900,182400,185000,186700,185300,185900,188700,195200,0.010112696636446428,0.011192579282812032
142051,神奈川県,藤沢市,187100,188500,188400,188600,187700,188400,187900,189400,195600,204600,0.009984361119362184,0.020836483263462435
122076,千葉県,松戸市,132900,132000,132800,133600,135000,136400,136900,137900,140800,145100,0.009806235106412764,0.015577944222544993
121045,千葉県,千葉市若葉区,78800,79300,79300,79200,79300,80200,80600,81200,82900,85900,0.009631737486073488,0.017313245039108027
141127,神奈川県,横浜市旭区,180600,181600,182200,183400,184800,187000,187000,188400,190500,196700,0.009533499744973417,0.012723034912370368
122246,千葉県,鎌ケ谷市,84800,86300,87000,87600,88200,88600,88700,89200,90300,92200,0.009339407923442344,0.010006804781480527
112127,埼玉県,東松山市,52900,54500,55600,56100,56500,56600,56400,56700,57000,57300,0.008916997750349598,0.003077635854529026
82228,茨城県,鹿嶋市,18300,18400,18600,18700,18800,19000,19000,19700,19800,19800,0.00879185417867867,0.010364078472745675
141364,神奈川県,川崎市宮前区,244300,239500,241700,245400,249400,253600,253600,252600,256000,264300,0.008781426182312257,0.0103852055361211
122319,千葉県,印西市,39800,39400,39000,38700,38500,38300,38200,38400,41000,43000,0.008629600318226016,0.02936031393646643
122335,千葉県,富里市,37400,37700,38000,38200,38400,38500,38500,38500,39100,40400,0.008610086566191555,0.01211569344632979
132187,東京都,福生市,157100,158600,160200,162700,163900,165100,162800,163600,166300,169000,0.008145906554580806,0.005853908546367803
132136,東京都,東村山市,183000,180300,182500,184500,185900,187300,185600,186500,191300,196700,0.008053766553530739,0.012317269341148407
132225,東京都,東久留米市,208300,207100,209000,211400,213700,215500,213600,215100,218700,223800,0.008006711148391243,0.009492744560544608
141101,神奈川県,横浜市戸塚区,190700,184600,190200,192300,194100,196300,195700,197100,199900,204700,0.00790261546499016,0.010530406386969116
143006,神奈川県,三浦郡,146800,146900,145200,143800,142900,143400,142900,145200,149700,157500,0.007847782801430503,0.023723921672629045
143014,神奈川県,葉山町,146800,146900,145200,143800,142900,143400,142900,145200,149700,157500,0.007847782801430503,0.023723921672629045
