code,prefecture,city_jp,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cagr_10y
11362,埼玉県,秩父郡皆野町*,10434,10287,10077,9939,9792,9677,9521,9371,9236,9050,8878,-0.016020
11363,埼玉県,秩父郡長瀞町*,7611,7496,7362,7279,7143,7022,6883,6748,6660,6516,6367,-0.017688
11365,埼玉県,秩父郡小鹿野町,12788,12471,12220,11968,11687,11459,11214,10893,10622,10316,10061,-0.023699
11369,埼玉県,秩父郡東秩父村*,3135,3048,2993,2910,2823,2753,2711,2635,2548,2473,2406,-0.026119
11380,埼玉県,児玉郡,57190,56891,56521,56314,56057,55700,55326,54869,54592,54256,53974,-0.005771
11381,埼玉県,児玉郡美里町,11589,11477,11319,11252,11226,11205,11113,10994,10916,10819,10685,-0.008089
11383,埼玉県,児玉郡神川町,14094,14027,13943,13835,13693,13507,13365,13173,13122,12888,12759,-0.009902
11385,埼玉県,児玉郡上里町,31507,31387,31259,31227,31138,30988,30848,30702,30554,30549,30530,-0.003145
11400,埼玉県,大里郡,35213,34855,34465,34079,33711,33342,32915,32587,32237,32041,31675,-0.010533
11408,埼玉県,大里郡寄居町,35213,34855,34465,34079,33711,33342,32915,32587,32237,32041,31675,-0.010533
11440,埼玉県,南埼玉郡,33392,33589,33780,34022,34097,34001,33824,33664,33514,33371,33471,0.000236
11442,埼玉県,南埼玉郡宮代町,33392,33589,33780,34022,34097,34001,33824,33664,33514,33371,33471,0.000236
11460,埼玉県,北葛飾郡,76888,76430,75985,75321,74652,73942,73319,72769,72566,72154,71419,-0.007351
11464,埼玉県,北葛飾郡杉戸町,46298,46109,45883,45432,45117,44777,44482,44219,44168,44014,43562,-0.006073
11465,埼玉県,北葛飾郡松伏町,30590,30321,30102,29889,29535,29165,28837,28550,28398,28140,27857,-0.009315
12100,千葉県,千葉市,962376,964424,965607,967832,970049,972516,974726,976328,977016,978899,983896,0.002214
12101,千葉県,千葉市中央区,201427,202983,204392,206279,207885,208904,210245,210715,211942,213881,216963,0.007458
12102,千葉県,千葉市花見川区,178030,177354,177116,176569,176723,176973,176932,176706,176669,177254,176964,-0.000600
12103,千葉県,千葉市稲毛区,156455,157786,157809,158125,158280,158002,158277,157888,157905,157850,158426,0.001253
12104,千葉県,千葉市若葉区,150616,150585,150209,149846,149624,149619,149068,148468,147717,147250,146761,-0.002589
12105,千葉県,千葉市緑区,126752,127202,127965,128656,129107,129667,130055,130272,130064,129848,129402,0.002071
12106,千葉県,千葉市美浜区,149096,148514,148116,148357,148430,149351,150149,152279,152719,152816,155380,0.004137
12202,千葉県,銚子市,66882,65546,64355,63058,61684,60327,59109,57589,56373,55016,53986,-0.021193
12203,千葉県,市川市,472757,476560,480744,484605,487536,490192,491764,490843,491577,492895,494720,0.004551
12204,千葉県,船橋市,622988,626809,630937,635517,639598,642938,644966,645718,647037,648331,649393,0.004160
12205,千葉県,館山市,48749,48397,47976,47345,46775,46161,45767,45265,44677,44160,43554,-0.011205
12206,千葉県,木更津市,133064,134002,134646,135174,135318,135617,136034,136047,136303,136611,136843,0.002804
12207,千葉県,松戸市,487376,489717,492199,494402,496571,498473,498457,496899,497120,498222,500395,0.002640
12208,千葉県,野田市,155900,155295,155050,154784,154727,154373,154140,153807,153661,153815,153538,-0.001526
12210,千葉県,茂原市,91855,91358,90949,90481,89751,89128,88280,87814,87358,86613,85861,-0.006725
12211,千葉県,成田市,131418,131739,132334,133098,133456,132735,131833,130318,130944,132023,133099,0.001272
12212,千葉県,佐倉市,177601,177056,176744,176291,175833,175045,173619,172232,171460,170406,169506,-0.004654
12213,千葉県,東金市,60424,60335,60124,59661,59040,58484,57743,57248,57268,56867,56524,-0.006650
12215,千葉県,旭市,68020,67598,67267,66431,65810,65305,64689,64009,63379,62747,61986,-0.009246
12216,千葉県,習志野市,166523,168838,171861,172632,173205,173885,175197,175372,174812,174963,175105,0.005038
12217,千葉県,柏市,406281,409001,412690,416433,420028,424920,428587,431267,433733,435529,437634,0.007461
12218,千葉県,勝浦市,19583,19033,18514,18007,17605,17222,16817,16386,16097,15663,15213,-0.024935
12219,千葉県,市原市,280340,279697,279093,277707,276739,275385,273771,271740,270085,268517,266861,-0.004915
12220,千葉県,流山市,172659,176248,180637,185460,190534,195476,200309,204512,208401,210733,212562,0.021009
12221,千葉県,八千代市,194101,195173,195933,197672,198858,199786,202176,203354,204717,205748,206692,0.006305
12222,千葉県,我孫子市,133216,132853,132619,132388,132216,132183,131644,131402,130964,131286,131317,-0.001435
12223,千葉県,鴨川市,34881,34453,33984,33562,33078,32673,32290,31842,31277,30820,30209,-0.014277
12224,千葉県,鎌ケ谷市,109562,109458,109480,109919,109972,109954,109943,109871,109564,109557,109757,0.000178
12225,千葉県,君津市,88126,87447,86552,85604,84811,83885,83005,82103,81176,80395,79520,-0.010223
12226,千葉県,富津市,47108,46492,45972,45374,44798,44069,43436,42665,41773,41119,40427,-0.015178
12227,千葉県,浦安市,162914,164034,166551,167938,169443,170169,169918,168658,169552,170671,171322,0.005045
12228,千葉県,四街道市,91340,91645,92337,93184,94027,94843,95366,95851,96226,96479,96424,0.005431
12229,千葉県,袖ケ浦市,62022,62063,62306,62897,63676,64348,64940,65360,65659,66022,66091,0.006375
12230,千葉県,八街市,73449,72713,72006,71290,70343,69509,68888,67739,67396,67006,66631,-0.009695
12231,千葉県,印西市,93722,95040,97263,99286,101299,103513,105772,107633,109953,111274,111731,0.017731
12232,千葉県,白井市,62761,63169,63345,63790,63723,63324,63162,62726,62845,62603,62218,-0.000869
12233,千葉県,富里市,49972,49947,50127,50258,50201,50245,50077,49404,49404,49668,49999,0.000054
12234,千葉県,南房総市,41034,40388,39733,39026,38401,37684,37024,36268,35593,34815,34066,-0.018438
12235,千葉県,匝瑳市,38755,38197,37709,37207,36642,36121,35542,34932,34338,33797,33294,-0.015073
12236,千葉県,香取市,81065,80015,78982,77838,76905,75538,74330,73129,71868,70791,69575,-0.015168
12237,千葉県,山武市,54904,54139,53435,52701,51935,51176,50336,49491,49103,48369,47745,-0.013874
12238,千葉県,いすみ市,40502,40014,39360,38787,38242,37665,37143,36575,35896,35289,34705,-0.015328
12239,千葉県,大網白里市,50714,50409,50192,49913,49620,49200,48960,48679,48417,48180,47660,-0.006192
12320,千葉県,印旛郡,43079,42797,42389,41992,41603,41212,40952,40546,40272,40049,39719,-0.008088
12322,千葉県,印旛郡酒々井町,21348,21256,21120,20954,20830,20723,20659,20460,20339,20207,20095,-0.006030
12329,千葉県,印旛郡栄町,21731,21541,21269,21038,20773,20489,20293,20086,19933,19842,19624,-0.010147
12340,千葉県,香取郡,36659,36195,35759,35468,34920,34408,33911,33216,32699,32173,31667,-0.014532
12342,千葉県,香取郡神崎町,6384,6321,6256,6214,6123,6024,5889,5806,5761,5679,5634,-0.012420
12347,千葉県,香取郡多古町,15427,15240,15046,14943,14709,14544,14387,14035,13813,13588,13426,-0.013797
12349,千葉県,香取郡東庄町,14848,14634,14457,14311,14088,13840,13635,13375,13125,12906,12607,-0.016228
12400,千葉県,山武郡,50164,49431,48709,48051,47175,46522,45820,44992,44227,43487,42743,-0.015882
12403,千葉県,山武郡九十九里町,17382,17082,16737,16334,16007,15680,15336,14953,14625,14333,14004,-0.021377
12409,千葉県,山武郡芝山町,7715,7621,7507,7500,7307,7255,7116,6998,6905,6776,6644,-0.014834
12410,千葉県,山武郡横芝光町,25067,24728,24465,24217,23861,23587,23368,23041,22697,22378,22095,-0.012541
12420,千葉県,長生郡*,62850,62269,61625,60857,60475,59502,58988,58117,57386,56537,55795,-0.011836
12421,千葉県,長生郡一宮町,12439,12469,12416,12448,12490,12480,12494,12344,12304,12284,12294,-0.001172
12422,千葉県,長生郡睦沢町*,7405,7365,7245,7135,7073,6964,6929,6870,6746,6614,6549,-0.012209
12423,千葉県,長生郡長生村,14763,14705,14646,14471,14412,14133,14028,13874,13738,13515,13269,-0.010613
12424,千葉県,長生郡白子町,12052,11830,11675,11485,11383,11182,11040,10847,10721,10565,10376,-0.014862
12426,千葉県,長生郡長柄町,7495,7378,7254,7150,7078,6880,6754,6588,6444,6316,6233,-0.018269
12427,千葉県,長生郡長南町*,8696,8522,8389,8168,8039,7863,7743,7594,7433,7243,7074,-0.020432
12440,千葉県,夷隅郡*,17847,17535,17274,16996,16689,16410,16057,15745,15479,15164,14917,-0.017774
12441,千葉県,夷隅郡大多喜町,9992,9747,9561,9385,9161,8980,8745,8544,8365,8164,8005,-0.021928
12443,千葉県,夷隅郡御宿町*,7855,7788,7713,7611,7528,7430,7312,7201,7114,7000,6912,-0.012708
12460,千葉県,安房郡*,8563,8370,8233,8076,7879,7651,7409,7183,6990,6849,6679,-0.024542
12463,千葉県,安房郡鋸南町*,8563,8370,8233,8076,7879,7651,7409,7183,6990,6849,6679,-0.024542
13101,東京都,千代田区,56873,,59788,61269,63635,65942,67216,67049,67911,68755,68835,0.019273
13102,東京都,中央区,138088,,149640,156823,162502,168361,170583,171419,174074,176835,187404,0.031009
13103,東京都,港区,240585,,249242,253639,257426,260379,259036,257183,261615,266306,267780,0.010767
13104,東京都,新宿区,327712,,338488,342297,346162,348452,345231,341222,346279,349226,352717,0.007380
13105,東京都,文京区,207413,,213969,217419,221489,226114,226574,226332,229653,232177,235345,0.012714
13106,東京都,台東区,189795,,193822,196134,199292,202431,203647,203709,207479,212388,216084,0.013057
13107,東京都,墨田区,258423,,265238,268898,271859,274896,275647,275724,279985,284555,287302,0.010650
13108,東京都,江東区,493952,,506511,513197,518479,521835,526301,525952,532882,539108,541685,0.009267
13109,東京都,品川区,372077,,382761,387622,394700,401704,406404,403699,404196,408280,412786,0.010437
13110,東京都,目黒区,269689,,273708,276786,279342,281474,281317,278276,278635,279520,281400,0.004260
13111,東京都,大田区,707455,,717295,723341,729534,734493,733672,728703,728425,733634,740519,0.004578
